feature,corr_train,corr_test
qqq_roc_14,-0.038558245,0.010141014
qqq_roc_16,-0.037682453,-0.028082808
qqq_roc_6,-0.025790185,0.024506451
qqq_roc_9,-0.007655848,-0.072583258
qqq_roc_4,-0.033028313,-0.044884488
qqq_roc_18,-0.021218932,-0.064470447
qqq_roc_20,-0.026163495,-0.158331833
qqq_roc_19,-0.022372151,-0.108334833
qqq_roc_7,-0.02172504,-0.047812781
qqq_roc_17,-0.033670097,-0.046852685
qqq_roc_10,-0.024050423,-0.099153915
qqq_roc_20,-0.026163495,-0.158331833
qqq_roc_13,-0.044438191,-0.010633063
qqq_roc_15,-0.034523503,0.005616562
qqq_roc_5,-0.045798963,-0.010717072
